interaction,directionality,classification,modulatory_effect,interactor1,interactor2,cell1,cell2
CDH2 -> CDH2,Adhesion-Adhesion,Adhesion by Cadherin,,CDH2,CDH2,STRIATUM_1,STRIATUM_2
CDH6 -> CDH6,Adhesion-Adhesion,Adhesion by Cadherin,,CDH6,CDH6,STRIATUM_1,STRIATUM_2
CDH7 -> CDH7,Adhesion-Adhesion,Adhesion by Cadherin,,CDH7,CDH7,STRIATUM_1,STRIATUM_2
COL11A1 -> ITGA1+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL11A1,ITGA1,STRIATUM_1,STRIATUM_2
COL11A1 -> ITGA1+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL11A1,ITGB1,STRIATUM_1,STRIATUM_2
COL11A1 -> ITGA1+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL11A1,ITGA1,STRIATUM_1,STRIATUM_2
COL11A1 -> ITGA1+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL11A1,ITGB1,STRIATUM_1,STRIATUM_2
COL11A1 -> ITGA10+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL11A1,ITGB1,STRIATUM_1,STRIATUM_2
COL11A1 -> ITGA10+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL11A1,ITGB1,STRIATUM_1,STRIATUM_2
COL11A1 -> ITGA11+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL11A1,ITGB1,STRIATUM_1,STRIATUM_2
COL11A1 -> ITGA11+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL11A1,ITGB1,STRIATUM_1,STRIATUM_2
COL11A1 -> ITGA2+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL11A1,ITGB1,STRIATUM_1,STRIATUM_2
COL11A1 -> ITGA2+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL11A1,ITGB1,STRIATUM_1,STRIATUM_2
COL13A1 -> ITGA1+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL13A1,ITGA1,STRIATUM_1,STRIATUM_2
COL13A1 -> ITGA1+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL13A1,ITGB1,STRIATUM_1,STRIATUM_2
COL13A1 -> ITGA1+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL13A1,ITGA1,STRIATUM_1,STRIATUM_2
COL13A1 -> ITGA1+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL13A1,ITGB1,STRIATUM_1,STRIATUM_2
COL13A1 -> ITGA10+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL13A1,ITGB1,STRIATUM_1,STRIATUM_2
COL13A1 -> ITGA10+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL13A1,ITGB1,STRIATUM_1,STRIATUM_2
COL13A1 -> ITGA11+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL13A1,ITGB1,STRIATUM_1,STRIATUM_2
COL13A1 -> ITGA11+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL13A1,ITGB1,STRIATUM_1,STRIATUM_2
COL13A1 -> ITGA2+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL13A1,ITGB1,STRIATUM_1,STRIATUM_2
COL13A1 -> ITGA2+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL13A1,ITGB1,STRIATUM_1,STRIATUM_2
COL14A1 -> ITGA1+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL14A1,ITGA1,STRIATUM_1,STRIATUM_2
COL14A1 -> ITGA1+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL14A1,ITGB1,STRIATUM_1,STRIATUM_2
COL14A1 -> ITGA1+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL14A1,ITGA1,STRIATUM_1,STRIATUM_2
COL14A1 -> ITGA1+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL14A1,ITGB1,STRIATUM_1,STRIATUM_2
COL14A1 -> ITGA10+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL14A1,ITGB1,STRIATUM_1,STRIATUM_2
COL14A1 -> ITGA10+ITGB1,Adhesion-Adhesion,Adhesion by Collagen/Integrin,,COL14A1,ITGB1,STRIATUM_1,STRIATUM_2
