feature,p_val,pct_valid,pct_ctrl,avg_valid,avg_ctrl,sd_valid,sd_ctrl,esm,valid_group,adj_pval,FC,log(FC),norm_diff
HSP90B1,4.7490446884714646e-14,0.16363636363636364,0.9347826086956522,1.2513212543972743,7.829566714920807,2.8929686193454707,2.2030788463279007,-2.5583677187427116,healthy,1.481701942803097e-11,0.15981998748572268,-2.645480248302853,-6.578245460523533
CANX,5.897746217707344e-14,0.09090909090909091,0.8478260869565217,0.6271957462858405,6.161856382119898,2.0138720700926283,2.6928192973964977,-2.327732842750842,healthy,9.200484099623458e-12,0.101786816730393,-3.2963773769837292,-5.534660635834057
ARPC5,1.3422902498123394e-11,0.05454545454545454,0.7391304347826086,0.42927034522097895,5.357196859955141,1.8226793362783313,3.2979601855817218,-1.8495024400044742,healthy,1.395981859804833e-09,0.08012965669224512,-3.6415198941545066,-4.927926514734162
CALR,5.468152334096056e-09,0.18181818181818182,0.7608695652173914,1.2917084275939077,5.705639933896922,2.8154816405517695,3.2893381851923547,-1.4417115399012639,healthy,4.2651588205949234e-07,0.22639150779913966,-2.1431082528211505,-4.4139315063030145
APLP2,1.163002211118762e-08,0.07272727272727272,0.6086956521739131,0.48575903532316683,4.215645324642903,1.7516204036541545,3.4530232903621028,-1.3623459644565918,healthy,7.257133797381075e-07,0.115227681153256,-3.1174407577486734,-3.729886289319736
ITGB1,1.4440477437585981e-08,0.05454545454545454,0.5869565217391305,0.389869482526819,3.9979625263593954,1.6551179197496542,3.41550662939497,-1.344418792461314,healthy,7.50904826754471e-07,0.09751704273272417,-3.3582018138117182,-3.6080930438325765
GNAS,3.045501782073222e-08,0.09090909090909091,0.6304347826086957,0.6465558450577099,4.405847299507005,2.0870649454318113,3.450379145734861,-1.3184023045274456,healthy,1.3574236514383504e-06,0.1467494901900156,-2.768572603488075,-3.759291454449295
LAMA4,3.7744244431844854e-08,0.01818181818181818,0.4782608695652174,0.0947327637880176,3.310226599649667,0.7025569794830868,3.517948099532041,-1.2675966432083892,healthy,1.4720255328419494e-06,0.028618211151479327,-5.1269226939346835,-3.215493835861649
GPNMB,3.847188804964366e-08,0.05454545454545454,0.6086956521739131,0.5032823787908398,4.3965011077328,2.1174475443260237,3.6069453819878667,-1.3163874116489163,healthy,1.3336921190543136e-06,0.11447338837368651,-3.1269158408753097,-3.89321872894196
ALCAM,6.210334964208454e-07,0.03636363636363636,0.4782608695652174,0.25503361386079293,3.098068955267089,1.3255973398769272,3.2933769324238766,-1.1325333129756405,healthy,1.9376245088330374e-05,0.08232018639456207,-3.602609940897971,-2.843035341406296
RACK1,1.7204695927802591e-06,0.14545454545454545,0.6521739130434783,1.0605922900094027,4.470269305453136,2.6148872164350827,3.3455813122069635,-1.1355957511880068,healthy,4.87987739043128e-05,0.2372546747274534,-2.0754915813409895,-3.409677015443733
DSCAM,3.5579219529776974e-06,0.01818181818181818,0.391304347826087,0.14077999872205654,2.6977360370176577,1.0440524135358449,3.4249664563547713,-1.009919557366195,healthy,9.250597077742013e-05,0.05218449721926411,-4.2602349099284496,-2.5569560382956014
COL11A1,3.7340142318955012e-06,0.01818181818181818,0.391304347826087,0.17394700569936417,2.548044014607133,1.2900255205024456,3.236577600762172,-0.9636321096118066,healthy,8.961634156549203e-05,0.06826687635777907,-3.8726704488272943,-2.3740970089077686
LAMB1,1.083740526784224e-05,0.01818181818181818,0.34782608695652173,0.11939985510806803,2.3769537035132156,0.8854930248118954,3.3038289815799042,-0.9334082199759899,healthy,0.00024151931739762708,0.05023230150910854,-4.31524081283962,-2.2575538484051476
HSP90AA1,1.2835320923763958e-05,0.2727272727272727,0.8260869565217391,2.128230175104169,5.877952556425981,3.553408290752214,2.795750744598802,-1.1728501110631975,healthy,0.0002669746752142903,0.3620699817962147,-1.4656595229032174,-3.7497223813218126
IL6ST,2.240827134819408e-05,0.07272727272727272,0.45652173913043476,0.5024155059623725,3.0164404341235143,1.8159771136930032,3.3517078911132425,-0.9326658751364427,healthy,0.00043696129128978454,0.166559067528333,-2.5858941979626557,-2.5140249281611418
LMAN1,2.664210846577902e-05,0.01818181818181818,0.32608695652173914,0.12091888629166091,2.2105069192187297,0.8967584615775078,3.2252616231981377,-0.882756450353625,healthy,0.0004889610494895915,0.05470188093073143,-4.19226574866212,-2.0895880329270686
SLC16A1,3.069711281317042e-05,0.01818181818181818,0.32608695652173914,0.11353520750633303,2.0600976846982415,0.8419996341405592,3.0127204463179384,-0.8800209099462311,healthy,0.0005320832887616207,0.05511156502414273,-4.181501093260979,-1.9465624771919086
SORCS1,4.640319639669199e-05,0.10909090909090909,0.5,0.7835979404553507,3.414741103281268,2.275368860031135,3.4953025394662625,-0.8921835470119674,healthy,0.0007619893303035737,0.22947506611918003,-2.123590690444041,-2.631143162825917
GNB1,7.403915262841667e-05,0.01818181818181818,0.30434782608695654,0.11879122309577085,1.9384540548649378,0.8809792890030989,2.9804282224684573,-0.8280148208076842,healthy,0.0011550107810033002,0.06128142309983594,-4.028406389325874,-1.819662831769167
CNTN6,9.638775909282039e-05,0.07272727272727272,0.41304347826086957,0.5246408436804628,2.8323317561329353,1.903294286563839,3.4360225801816213,-0.8308580653717604,healthy,0.001432046706521903,0.18523283599968182,-2.432588228822488,-2.3076909124524727
TENM3,0.00010200744836432078,0.07272727272727272,0.391304347826087,0.48855189057702947,2.7605667261982934,1.7642934991482069,3.513304726716637,-0.8172915729511494,healthy,0.001446651085894004,0.17697521524858678,-2.4983807647578797,-2.2720148356212637
PDE1A,0.00014645145673178862,0.01818181818181818,0.2826086956521739,0.1251298149278547,1.9180282469749004,0.9279875441585166,3.1041505763843102,-0.7826001262610132,healthy,0.001986645847839915,0.06523877587580292,-3.9381264778426037,-1.7928984320470458
CD63,0.0001533015167978913,0.01818181818181818,0.2826086956521739,0.11389325702450455,1.784669390427475,0.8446550004355282,2.8948001577835942,-0.7835600074541985,healthy,0.001992919718372587,0.06381756623125817,-3.9699025992246506,-1.6707761334029705
GRIA1,0.00016116073283306692,0.10909090909090909,0.45652173913043476,0.7930954567413405,3.246479335228398,2.3007683553959177,3.604894448759844,-0.8113120219859816,healthy,0.002011285945756675,0.24429401047936883,-2.033309602373639,-2.4533838784870574
APP,0.0002810004206654726,0.09090909090909091,0.41304347826086957,0.6049655106116425,2.7597888720739037,1.943577400715296,3.3521995309831913,-0.7864440664084845,healthy,0.0033720050479856714,0.2192071707851434,-2.189633101849165,-2.1548233614622614
CHL1,0.000346054728810818,0.03636363636363636,0.30434782608695654,0.24092043735820268,1.9466801898148045,1.2517693058363764,2.9867889209209335,-0.7448862352775973,healthy,0.003998854644036119,0.12375963890664671,-3.014387202331264,-1.705759752456602
ACTR2,0.00039258889137167393,0.01818181818181818,0.2608695652173913,0.1302206133972496,1.726258054942757,0.965741916065352,2.958036105152083,-0.7253728421243659,healthy,0.004374561932427224,0.07543519523306018,-3.7286184018077035,-1.5960374415455074
LRIG2,0.0009037567752803088,0.01818181818181818,0.2391304347826087,0.13155622110697623,1.5156283938283723,0.9756470479415792,2.7432487022417082,-0.6722718758920933,healthy,0.00972317634094677,0.08679978657213878,-3.5261646944747342,-1.384072172721396
PDAP1,0.001632780216715908,0.03636363636363636,0.2608695652173913,0.26913866340870396,1.7515877357753973,1.403011845083526,2.9878377560343217,-0.6351391336099326,healthy,0.016980914253845444,0.15365411501329163,-2.702241690600335,-1.4824490723666934
CALM1,0.0023729649905839386,0.16363636363636364,0.5217391304347826,1.219722863144366,3.421555936525422,2.7910455193227697,3.331917195177716,-0.7164154353050043,healthy,0.023882744421360933,0.356481929792149,-1.48809914713822,-2.2018330733810556
LAMC1,0.002498541759302583,0.03636363636363636,0.2391304347826087,0.23703188518286372,1.6055485148673179,1.2314781384270723,2.9078758500532067,-0.6128692575379932,healthy,0.024360782153200183,0.14763296343147375,-2.759913213126181,-1.3685166296844542
